Country,Latitude,Longitude
Afghanistan,33.7680065,66.2385139
Albania,41.000028,19.9999619
Algeria,28.0000272,2.9999825
Andorra,40.9753365,-0.4442782
Angola,-11.8775768,17.5691241
Argentina,-34.9964963,-64.9672817
Armenia,34.7684705,-81.2928684
Australia,-24.7761086,134.755
Austria,47.59397,14.12456
Azerbaijan,40.3936294,47.7872508
Bahrain,26.1551249,50.5344606
Bangladesh,24.4769288,90.2934413
Belarus,53.4250605,27.6971358
Belgium,50.6402809,4.6667145
Belize,16.8259793,-88.7600927
Benin,9.5293472,2.2584408
Bhutan,27.549511,90.5119273
Bolivia,-17.0568696,-64.9912286
Bosnia and Herzegovina,44.3053476,17.5961467
Botswana,-23.1681782,24.5928742
Brazil,-10.3333333,-53.2
Brunei,4.4137155,114.5653908
Bulgaria,42.6073975,25.4856617
Burkina Faso,12.0753083,-1.6880314
Burundi,-3.426449,29.9324519
Cambodia,12.5433216,104.8144914
Cameroon,4.6125522,13.1535811
Canada,61.0666922,-107.991707
Cape Verde,16.0000552,-24.0083947
Central African Republic,7.0323598,19.9981227
Chad,15.6134137,19.0156172
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Colombia,4.099917,-72.9088133
Comoros,-12.2045176,44.2832964
Congo-Brazzaville,-0.7264327,15.6419155
Costa Rica,10.2735633,-84.0739102
Côte D'Ivoire,7.9897371,-5.5679458
Croatia,45.3658443,15.6575209
Cuba,23.0131338,-80.8328748
Cyprus,34.9823018,33.1451285
Czech Republic,49.7439047,15.3381061
Democratic Republic of Congo,-15.4139213,28.289698
Denmark,55.670249,10.3333283
Djibouti,11.5936903,43.1472724
Ecuador,-1.3397668,-79.3666965
Egypt,26.2540493,29.2675469
El Salvador,13.8000382,-88.9140683
Equatorial Guinea,1.613172,10.5170357
Eritrea,15.9500319,37.9999668
Estonia,58.7523778,25.3319078
Eswatini,-26.5624806,31.3991317
Ethiopia,10.2116702,38.6521203
Fiji,-18.1239696,179.0122737
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
Gabon,-0.8999695,11.6899699
Gambia,13.470062,-15.4900464
Georgia,41.6809707,44.0287382
Germany,51.1638175,10.4478313
Ghana ,8.0300284,-1.0800271
Greece,38.9953683,21.9877132
Guatemala,15.5855545,-90.345759
Guinea,10.7226226,-10.7083587
Guinea-Bissau,11.815215,-15.2351044
Guyana,4.8417097,-58.6416891
Honduras,15.2572432,-86.0755145
Hong Kong,22.381131,114.135572
Hungary,47.1817585,19.5060937
Iceland,64.9841821,-18.1059013
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.8902853
Iran,32.6475314,54.5643516
Iraq,33.0955793,44.1749775
Ireland,52.865196,-7.9794599
Israel,30.8124247,34.8594762
Italy,42.6384261,12.674297
Japan,36.5748441,139.2394179
Jordan,44.6663146,-93.6261918
Kazakhstan,48.1012954,66.7780818
Kenya,1.4419683,38.4313975
Kosovo,41.72758285,21.133933513616796
Kuwait,29.2733964,47.4979476
Kyrgyzstan,41.5089324,74.724091
Laos,20.0171109,103.378253
Latvia,56.8406494,24.7537645
Lebanon,40.3429683,-76.4233816
Lesotho,-29.6039267,28.3350193
Liberia,5.7499721,-9.3658524
Libya,26.8234472,18.1236723
Liechtenstein,47.1416307,9.5531527
Lithuania,55.3500003,23.7499997
Luxembourg,49.8158683,6.1296751
Madagascar,-18.9249604,46.4416422
Malawi,-13.2687204,33.9301963
Malaysia,4.5693754,102.2656823
Maldives,3.7203503,73.2244152
Mali,16.3700359,-2.2900239
Malta,41.9292207,-88.8623138
Mauritania,20.2540382,-9.2399263
Mauritius,-20.2759451,57.5703566
Mexico,23.6585116,-102.0077097
Moldova,47.2879608,28.5670941
Mongolia,46.8250388,103.8499736
Montenegro,-29.6826112,-51.4687455
Morocco,31.1728205,-7.3362482
Mozambique,-19.302233,34.9144977
Myanmar (Burma),17.1750495,95.9999652
Namibia,-23.2335499,17.3231107
Nepal,28.1083929,84.0917139
Netherlands,52.2434979,5.6343227
New Zealand,-41.5000831,172.8344077
Nicaragua,12.6090157,-85.2936911
Niger,17.7356214,9.3238432
Nigeria,9.6000359,7.9999721
North Korea,40.3736611,127.0870417
Norway,61.1529386,8.7876653
Oman,21.0000287,57.0036901
Pakistan,30.3308401,71.247499
Palestine,31.7621153,-95.6307891
Panama,8.559559,-81.1308434
Papua New Guinea,-5.6816069,144.2489081
Paraguay,-23.3165935,-58.1693445
Peru,-6.8699697,-75.0458515
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Portugal,39.6621648,-8.1353519
Qatar,25.3336984,51.2295295
Republic of North Macedonia,41.6171214,21.7168387
Romania,45.9852129,24.6859225
Russia,64.6863136,97.7453061
Rwanda,-1.9646631,30.0644358
Samoa,-13.7693895,-172.12005
Saudi Arabia,25.6242618,42.3528328
Senegal,14.4750607,-14.4529612
Serbia,44.1534121,20.55144
Seychelles,-4.6574977,55.4540146
Sierra Leone,8.6400349,-11.8400269
Singapore,1.357107,103.8194992
Slovakia,48.7411522,19.4528646
Slovenia,46.1199444,14.8153333
Somalia,8.3676771,49.083416
South Africa,-28.8166236,24.991639
South Korea,36.638392,127.6961188
South Sudan,7.8699431,29.6667897
Spain,39.3260685,-4.8379791
Sri Lanka,7.5554942,80.7137847
Sudan,14.5844444,29.4917691
Suriname,4.1413025,-56.0771187
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Syria,34.6401861,39.0494106
Taiwan,23.9739374,120.9820179
Tajikistan,38.6281733,70.8156541
Tanzania,-6.5247123,35.7878438
Thailand,14.8971921,100.83273
Timor-Leste,-8.7443169,126.063482
Togo,8.7800265,1.0199765
Tonga,-19.9160819,-175.202642
Trinidad and Tobago,10.7466905,-61.0840075
Tunisia,33.8439408,9.400138
Turkey,38.9597594,34.9249653
Turkmenistan,39.3763807,59.3924609
Uganda,1.5333554,32.2166578
Ukraine,49.4871968,31.2718321
United Arab Emirates,24.0002488,53.9994829
United Kingdom,54.7023545,-3.2765753
United States,39.7837304,-100.445882
Uruguay,-32.8755548,-56.0201525
Uzbekistan,41.32373,63.9528098
Venezuela,8.0018709,-66.1109318
Vietnam,15.9266657,107.9650855
Yemen,16.3471243,47.8915271
Zambia,-14.5189121,27.5589884
Zimbabwe,-18.4554963,29.7468414
